Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
345.78,00:05:45,,613.28
346.82,00:05:46,96,628.91
347.74,00:05:47,96,640.62
347.74,00:05:47,,644.53
348.77,00:05:48,96,648.44
349.77,00:05:49,95,660.16
349.77,00:05:49,,675.78
350.74,00:05:50,95,675.78
351.77,00:05:51,93,660.16
351.77,00:05:51,,664.06
353.66,00:05:53,92,664.06
354.69,00:05:54,91,664.06
354.69,00:05:54,,656.25
355.72,00:05:55,90,656.25
356.67,00:05:56,91,656.25
356.67,00:05:56,,636.72
357.59,00:05:57,91,631.84
357.59,00:05:57,,644.53
358.62,00:05:58,92,671.88
359.67,00:05:59,92,707.03
360.6,00:06:00,92,699.22
360.6,00:06:00,,687.50
361.66,00:06:01,92,703.12
362.6,00:06:02,90,718.75
362.6,00:06:02,,710.94
363.63,00:06:03,88,683.59
365.6,00:06:05,87,664.06
365.6,00:06:05,87,664.06
365.6,00:06:05,,660.16
366.54,00:06:06,88,660.16
366.54,00:06:06,,664.06
367.57,00:06:07,89,664.06
368.54,00:06:08,90,667.97
368.54,00:06:08,,687.50
369.57,00:06:09,90,683.59
370.51,00:06:10,90,671.88
370.51,00:06:10,,644.53
371.53,00:06:11,90,601.56
372.56,00:06:12,90,609.38
372.56,00:06:12,,570.31
373.49,00:06:13,90,601.56
373.49,00:06:13,,593.75
374.54,00:06:14,90,628.91
375.48,00:06:15,92,659.18
375.48,00:06:15,,667.97
376.51,00:06:16,92,632.81
377.44,00:06:17,93,617.19
377.44,00:06:17,,625.00
378.49,00:06:18,94,640.62
378.49,00:06:18,,648.44
379.42,00:06:19,94,644.53
380.37,00:06:20,94,621.09
380.37,00:06:20,,593.75
381.42,00:06:21,95,593.75
382.37,00:06:22,95,601.56
382.37,00:06:22,,625.00
383.4,00:06:23,95,648.44
383.4,00:06:23,,644.53
384.44,00:06:24,95,640.62
385.37,00:06:25,95,640.62
385.37,00:06:25,,640.62
386.4,00:06:26,94,640.62
387.34,00:06:27,93,640.62
387.34,00:06:27,,656.25
388.39,00:06:28,93,664.06
389.32,00:06:29,93,695.31
389.32,00:06:29,,699.22
390.35,00:06:30,93,687.50
391.3,00:06:31,91,679.69
391.3,00:06:31,,679.69
392.3,00:06:32,90,683.59
393.26,00:06:33,88,686.52
393.26,00:06:33,,660.16
394.31,00:06:34,88,640.62
395.24,00:06:35,89,660.16
395.24,00:06:35,,675.78
396.28,00:06:36,89,664.06
397.32,00:06:37,90,660.16
397.32,00:06:37,,621.09
398.25,00:06:38,90,605.47
399.2,00:06:39,91,613.28
399.2,00:06:39,,644.53
400.22,00:06:40,91,675.78
401.25,00:06:41,91,667.97
401.25,00:06:41,,675.78
402.18,00:06:42,91,671.88
403.21,00:06:43,90,703.12
403.21,00:06:43,,710.94
404.14,00:06:44,89,707.03
405.22,00:06:45,88,687.50
405.22,00:06:45,,675.78
406.2,00:06:46,88,671.88
407.14,00:06:47,88,664.06
407.14,00:06:47,,667.97
408.17,00:06:48,88,664.06
409.1,00:06:49,89,652.34
409.1,00:06:49,,628.91
410.13,00:06:50,90,636.72
411.17,00:06:51,90,686.52
411.17,00:06:51,,699.22
412.1,00:06:52,90,695.31
413.13,00:06:53,89,707.03
413.13,00:06:53,,710.94
414.06,00:06:54,88,703.12
415.09,00:06:55,87,691.41
416.03,00:06:56,87,664.06
416.03,00:06:56,,667.97
417.06,00:06:57,87,675.78
418.09,00:06:58,87,691.41
418.09,00:06:58,,695.31
419.03,00:06:59,87,703.12
420.08,00:07:00,87,742.19
420.08,00:07:00,,750.00
421,00:07:01,87,722.66
422.03,00:07:02,86,707.03
422.96,00:07:02,85,699.22
422.96,00:07:02,,691.41
423.99,00:07:03,85,667.97
425.02,00:07:05,85,644.53
425.02,00:07:05,,625.00
425.96,00:07:05,86,617.19
425.96,00:07:05,,625.00
426.99,00:07:06,87,660.16
427.95,00:07:07,89,683.59
427.95,00:07:07,,678.71
428.98,00:07:08,89,687.50
429.91,00:07:09,89,722.66
430.94,00:07:10,88,746.09
430.94,00:07:10,,734.38
431.88,00:07:11,88,710.94
432.91,00:07:12,86,699.22
432.91,00:07:12,,695.31
433.85,00:07:13,86,667.97
434.9,00:07:14,86,648.44
434.9,00:07:14,,644.53
435.88,00:07:15,86,628.91
436.8,00:07:16,87,628.91
436.8,00:07:16,,628.91
437.86,00:07:17,88,660.16
438.89,00:07:18,90,699.22
438.89,00:07:18,,722.66
439.82,00:07:19,90,707.03
440.85,00:07:20,90,695.31
441.77,00:07:21,89,687.50
441.77,00:07:21,,679.69
442.8,00:07:22,88,671.88
443.76,00:07:23,88,675.78
443.76,00:07:23,,675.78
444.79,00:07:24,88,679.69
445.72,00:07:25,88,679.69
445.72,00:07:25,,682.62
446.76,00:07:26,88,675.78
447.78,00:07:27,88,687.50
447.78,00:07:27,,679.69
448.71,00:07:28,88,667.97
449.69,00:07:29,89,667.97
449.69,00:07:29,,675.78
450.72,00:07:30,88,699.22
452.7,00:07:32,88,699.22
452.7,00:07:32,,714.84
453.67,00:07:33,88,687.50
454.7,00:07:34,88,679.69
454.7,00:07:34,,691.41
455.63,00:07:35,87,687.50
456.67,00:07:36,87,679.69
457.6,00:07:37,87,679.69
457.6,00:07:37,,695.31
458.63,00:07:38,87,703.12
459.66,00:07:39,87,691.41
459.66,00:07:39,,691.41
460.59,00:07:40,87,691.41
461.6,00:07:41,87,691.41
461.6,00:07:41,,695.31
462.64,00:07:42,87,687.50
463.57,00:07:43,87,679.69
463.57,00:07:43,,695.31
464.6,00:07:44,87,709.96
465.54,00:07:45,87,730.47
466.58,00:07:46,86,734.38
466.58,00:07:46,,730.47
467.51,00:07:47,86,730.47
468.54,00:07:48,85,703.12
468.54,00:07:48,,703.12
469.57,00:07:49,84,683.59
470.51,00:07:50,84,667.97
470.51,00:07:50,,648.44
471.55,00:07:51,84,640.62
472.5,00:07:52,85,671.88
473.53,00:07:53,86,703.12
473.53,00:07:53,,703.12
474.46,00:07:54,87,707.03
475.49,00:07:55,86,718.75
475.49,00:07:55,,710.94
476.43,00:07:56,86,703.12
477.48,00:07:57,86,687.50
477.48,00:07:57,,671.88
478.44,00:07:58,86,656.25
479.47,00:07:59,86,632.81
479.47,00:07:59,,613.28
480.4,00:08:00,87,582.03
480.4,00:08:00,,597.66
481.45,00:08:01,88,605.47
482.38,00:08:02,91,621.09
482.38,00:08:02,,635.74
483.41,00:08:03,92,664.06
484.35,00:08:04,94,636.72
484.35,00:08:04,,613.28
485.38,00:08:05,95,617.19
486.35,00:08:06,95,648.44
486.35,00:08:06,,656.25
487.38,00:08:07,94,636.72
487.38,00:08:07,,636.72
488.28,00:08:08,94,636.72
489.31,00:08:09,94,660.16
489.31,00:08:09,,644.53
490.34,00:08:10,94,613.28
491.27,00:08:11,94,601.56
491.27,00:08:11,,601.56
492.29,00:08:12,95,613.28
492.29,00:08:12,,613.28
493.32,00:08:13,96,613.28
494.27,00:08:14,97,621.09
494.27,00:08:14,,625.00
495.3,00:08:15,97,628.91
496.23,00:08:16,97,617.19
496.23,00:08:16,,628.91
497.27,00:08:17,97,613.28
497.27,00:08:17,,601.56
498.2,00:08:18,97,593.75
499.25,00:08:19,97,601.56
499.25,00:08:19,,613.28
